id,display_name,works_count,type,alternate_titles
S37840076,Wood Material Science and Engineering,788,journal,Wood material science and engineering
S2764520392,Ordnance Material Science and Engineering,1997,journal,
S4210192902,Material Science Research India,681,journal,
S4210237300,Material science & engineering international journal,220,journal,MSEIJ
S4210224531,Advanced material science,59,journal,AMS
S4210210093,Modeling and Numerical Simulation of Material Science,108,journal,Modeling & Numerical Simulation of Material Science
S4306523285,PROCEEDING OF INTERNATIONAL CONFERENCE ON RECENT TRENDS IN APPLIED PHYSICS AND MATERIAL SCIENCE: RAM 2013,589,journal,
S4210236020,International journal of material science,96,journal,IJMSCI
S4306423184,"International conference Material Science,Smart Structures and Applications",281,conference,
S4210217443,Juniper online journal material science,136,journal,JOJMS
S4210178610,i-manager's journal on material science,207,journal,
S4306424294,International Conference Trends Material Science and Inventive Materials,230,conference,
S4210227363,Journal of applied material science & engineering research,163,journal,AMSE
S4210232007,Modern approaches on material science,109,journal,MAMS
S4210216783,Modern concepts in material science,116,journal,MCMS
S2898220205,"Journal of University of Science and Technology Beijing, Mineral, Metallurgy, Material",397,journal,Beijing Keji Daxue xuebao.
S4306523591,Proceedings of the 1st International Conference on Mechanical Engineering and Material Science,204,journal,
S4306497966,2015 International Conference on Material Science and Applications (icmsa-15),193,journal,
S2764978433,Material Science Research India,58,journal,
S4210189219,Material science and engineering with advanced research,36,journal,MSEAR
S4210235068,Journal of material science and technology research,74,journal,
S4210185164,Insight - material science,28,journal,
S4210219590,Journal of building material science,54,journal,
S4210186029,Non-metallic material science,39,journal,
S4210216127,International journal of material science and research,11,journal,IJMSR
S4210198256,Advances in Material Science,23,journal,
S4210176009,"Journal of advanced research in manufacturing, material science & metallurgical engineering",74,journal,
S4210181054,Material science,16,journal,
S4210224589,SunText review of material science,18,journal,Review of material science
S4210217327,SDRP journal of nanotechnology & material science,14,journal,SDRP journal of nanotechnology and material science
S2764950660,Computer methods in materials science,582,journal,Computer Methods in Material Science
S4306423173,International Conference Inventive Material Science Applications,18,conference,
S4220651385,OAJRC material science,9,journal,Material science
S4210184087,"Material science, engineering and applications",15,journal,
S4306513862,"International Forum “Microelectronics – 2020”. Joung Scientists Scholarship “Microelectronics – 2020”. XIII International conference «Silicon – 2020». XII young scientists scholarship for silicon nanostructures and devices physics, material science, process and analysis",118,journal,
S2764777115,Journal of Material Science and Engineering,10,journal,
S4210174556,Obrabotka metallov,330,journal,OM
S2738076925,Materials Science and Applied Chemistry,99,journal,Material Science and Applied Chemistry
S4210215585,材料科学与工程,140,journal,Material science and engineering
S4210184914,Blucher Material Science Proceedings,2,journal,
S4210205488,Rīgas Tehniskās universitātes zinātniskie raksti,47,journal,Scientific Proceedings of Riga Technical university. Material Science
S4210233554,Rīgas Tehniskās Universitātes Zinātniskie raksti. Materiālzinātne un lietišk̦ā k̦īmija,61,journal,Scientific Proceedings of Riga Technical University. Material Science and Applied Chemistry
S4306419067,International Conference Material Science and Engineering Technology,1,conference,
S4306488063,Institute for the History of Material Culture Russian Academy of Science eBooks,8,ebook platform,
S4210172496,"Banber. Metalurgia, nyut'agitut'yun, ěnderk'ogtagortsum",30,journal,"Hayastani petakan chartaragitakan hamalsarani banber. Metalurgia, nyut'agitut'yun, ěnderk'ogtagortsum"
S4210220804,Science insights material & chemistry,2,journal,
